==COMPLETE LIST OF ISCN(2024) EXAMPLES==

'''This file contains all of the ISCN(2024) examples from the cytogenetics and in situ hybridization chapters.  The Example Numbers in parentheses are for reference to this file and are not published in the ISCN.  The markup for underlining (<u></u>) has been retained and should not be used in the ISCN string.  Section numbers have been intercalated for easier location in the ISCN text.  For most efficient searching, pipe multiple instances of grep to identify the examples with particular patterns of interest.  For example, grep 'der' | grep 'ins' finds all examples of derivative chromosomes involving an insertion.'''


(Ex.1)	inv(Y)(p11.2q11.2)pat
4.2.1
(Ex.2)	48,XX,+8,+21c[20]
(Ex.3)	46,XXYc,-X[10]/47,XXYc[2]
(Ex.4)	47,XXX,t(11;22)(q23;q11.2)[10]/46,XX,t(11;22)[10]
(Ex.5)	46,XX,t(5;6)(q34;q23)mat,inv(14)(q12q31)pat
(Ex.6)	46,XX,der(5)t(5;6)(q34;q23)dmat,inv(14)(q12q31)pat
(Ex.7)	46,XY,t(5;6)(q34;q23)mat,inv(14)(q12q31)dn
(Ex.8)	46,XX,add(19)(p13.3 or q13.3)
(Ex.9)	46,Y,del(X)(q22) or i(X)(p10)
(Ex.10)	46,XX,t(12;14)(q15;q24) or t(12;14)(q13;q22)
(Ex.11)	45~48,XX,+8[cp10]
(Ex.12)	46,XX,del(1)(q21~24)
(Ex.13)	46,XY,dup(1)(p34~32p22)
(Ex.14)	46,XX,t(3;12)(q27~29;q13~15)
(Ex.15)	ogm[GRCh38] t(6;7)(q21;q32.1)(108,976,886~108,982,237;128,310,022~128,316,239)
(Ex.16)	45,XX,-?21
(Ex.17)	47,XX,+?8
(Ex.18)	46,XY,?del(1)(p36.1)
(Ex.19)	46,XX,del(19)(?q)
(Ex.20)	46,XX,del(20)(q?)
(Ex.21)	46,XX,del(1)(q?2)
(Ex.22)	46,XY,del(1)(q?23)
(Ex.23)	46,XX,del(1)(q2?)
(Ex.24)	46,XY,del(1)(q2?3)
(Ex.25)	46,XY,t(5;6)(q31.1;q22.?1)
(Ex.26)	46,XX,der(1)?t(1;3)(p22;q13)
(Ex.27)	46,XY,der(5)ins(5;?)(q32;?)
(Ex.28)	46,XY,-5,+der(?)t(?;5)(?;q13)
(Ex.29)	46,XX.ish X(DXZ1x2),der(7)ins(7;Y)(q3?;p11.?2p11.?2)(SRY+)
4.3
(Ex.30)	46,Y,t(X;10)(q27;p13)
(Ex.31)	ogm[GRCh38] (Y)x1,Xq25(126023321x1,126228413_126535347x0,126556900x1)mat
(Ex.32)	50,X,+X,-Y,+10,+14,+17,+21[5]
(Ex.33)	47,X,t(X;13)(q27;q12),inv(10)(p13q22),+21
(Ex.34)	47,Y,t(X;13)(q27;q12),inv(10)(p13q22),+21
(Ex.35)	46,t(X;18)(p11.1;q11.2),t(Y;1)(q11.2;p13)[10]
(Ex.36)	48,X,t(Y;12)(q11.21;p12),del(6)(q11),+8,t(9;22)(q34;q11.2),+17,-21,+22[10]
(Ex.37)	arr[GRCh38] Xp22.33(23,934_1,604,049)x3,9p24.3p23(56,537_9,401,480)x1
(Ex.38)	46,XY,+13,der(13;14)(q10;q10)
(Ex.39)	46,XY,der(13;21)(q10;q10),+21
(Ex.40)	47,X,inv(X)(p21q26),+3,inv(3)(q21q26.2),-7,+10,-20,del(20)(q11.2q13.1),+21[10]
(Ex.41)	50,XXYc,+X,+21c,+21[10]
(Ex.42)	50,XX,+1,+del(1)(p13),+dup(1)(q21q32),+inv(1)(p31q41),+8,r(10)(p12q25),-21[10]
(Ex.43)	46,XX,der(8)ins(8;?)(p23;?)del(8)(q22)
(Ex.44)	arr[GRCh38] 8p23.3p23.1(176,814_7,691,960)x1,8p23.1p21.3(12,556,004_20,026,406)x3
(Ex.45)	52,XX,+7,+12,+13,+17,+r,+mar,12~20dmin[10]
(Ex.46)	52,XX,+12,+13,+17,+der(?)t(?;6)(?;q16),+r,+mar,5~9dmin[10]
4.4.1
(Ex.47)	46,XY.ish 4p16.3(D4F26,WHS,D4S96)x2
(Ex.48)	nuc ish (TP73x1,ANGPTLx2)[107/200]
(Ex.49)	arr (X)x1
(Ex.50)	arr[GRCh38] 5q22.1q31.1(110,670,174_131,637,624)x3
(Ex.51)	ogm (X)x1[0.6]
(Ex.52)	ogm[GRCh38] 22q11.2(18,730,698_21,689,521)x1
(Ex.53)	nuc ish (KAL1,D21S65)x2
(Ex.54)	47,XY,+mar dn[14]/46,XY[16]
(Ex.55)	45,XY,psudic(14;21)(q31;q22.1)
(Ex.56)	nuc ish (MYH11,CBFB)x3(MYH11 con CBFB)x2[100/200]
(Ex.57)	46,XY,add(1)(q42) or dup(1)(q42q44)
4.4.2
(Ex.58)	46,XY,t(5;8)(q23;q24),t(<u>5</u>;11)(p12;p11.1)
4.4.3
(Ex.59)	47,XY,+5,del(5)(q13q33)x2[15]
(Ex.60)	nuc ish (RB1,D21S259/D21S341/D21S342)x2
(Ex.61)	nuc ish (MYCx2,IGHx3)[90/200]
(Ex.62)	46,XX.rsa (X,13,18,21)x2
4.4.4
(Ex.63)	46,XY,der(9)(pter-->p23::p13-->p23::p13-->q22::q33-->qter)
(Ex.64)	46,XY,der(7)(7pter-->7q22::2q21-->2qter)
