Prepared 2024-01-16 21:28
Chromosome	Arm	Band	Abnormality	 
1	q	21	ins(1;1)(q21;p36p22)	 Multiple myeloma
1	p	36	ins(1;1)(q21;p36p22)	 Multiple myeloma
1	p	22	ins(1;1)(q21;p36p22)	 Multiple myeloma
3	q	26	ins(3;3)(q26;q21q26)	 Acute myeloid leukemia, NOS
3	q	21	ins(3;3)(q26;q21q26)	 Acute myeloid leukemia, NOS
3	q	26	ins(3;3)(q26;q21q26)	 Acute myeloid leukemia, NOS
3	q	25	ins(3;5)(q25;q11q31)	 Chronic lymphocytic leukemia
5	q	11	ins(3;5)(q25;q11q31)	 Chronic lymphocytic leukemia
5	q	31	ins(3;5)(q25;q11q31)	 Chronic lymphocytic leukemia
4	q	21	ins(4;11)(q21;q11q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	11	ins(4;11)(q21;q11q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	ins(4;11)(q21;q11q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
4	q	21	ins(4;11)(q21;q13q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	13	ins(4;11)(q21;q13q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	ins(4;11)(q21;q13q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
4	q	21	ins(4;11)(q21;q23q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	ins(4;11)(q21;q23q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	ins(4;11)(q21;q23q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
8	q	22	ins(8;21)(q22;q22q22)	 Acute myeloid leukemia, NOS
21	q	22	ins(8;21)(q22;q22q22)	 Acute myeloid leukemia, NOS
21	q	22	ins(8;21)(q22;q22q22)	 Acute myeloid leukemia, NOS
8	q	22	ins(8;21)(q22;q22q22)	 Acute myeloblastic leukemia with maturation (FAB type M2)
21	q	22	ins(8;21)(q22;q22q22)	 Acute myeloblastic leukemia with maturation (FAB type M2)
21	q	22	ins(8;21)(q22;q22q22)	 Acute myeloblastic leukemia with maturation (FAB type M2)
9	q	34	ins(9;22)(q34;q11q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	ins(9;22)(q34;q11q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	ins(9;22)(q34;q11q11)	 Chronic myeloid leukemia, aberrant translocation
10	p	11	ins(10;11)(p11;q23q13)	 Acute monoblastic leukemia (FAB type M5)
11	q	23	ins(10;11)(p11;q23q13)	 Acute monoblastic leukemia (FAB type M5)
11	q	13	ins(10;11)(p11;q23q13)	 Acute monoblastic leukemia (FAB type M5)
10	p	12	ins(10;11)(p12;q23q13)	 Acute myeloblastic leukemia with minimal differentiation (FAB type M0)
11	q	23	ins(10;11)(p12;q23q13)	 Acute myeloblastic leukemia with minimal differentiation (FAB type M0)
